latitude,longitude,date,fire_occurred,temperature,humidity,wind_speed,rain_7d_sum,rain_30d_sum,temp_7d_avg,temp_30d_max,ndvi,rgb_image,ndvi_image
20.66344,103.25137,2023-04-22,1,31.6,36,14.0,1.5,30.000000000000007,32.457142857142856,34.0,0.28144821524620056,2023-04-22_2066344_10325137_rgb.png,2023-04-22_2066344_10325137_ndvi.png
19.29508,103.72874,2022-09-26,0,25.4,77,7.7,18.4,252.9,25.25714285714286,30.1,0.5531461834907532,2022-09-26_1929508_10372874_rgb.png,2022-09-26_1929508_10372874_ndvi.png
20.10384,102.88971,2022-10-13,0,27.1,51,6.0,4.9,119.59999999999998,26.885714285714283,29.1,0.5843505263328552,2022-10-13_2010384_10288971_rgb.png,2022-10-13_2010384_10288971_ndvi.png
-8.58465,126.28598,2023-04-15,0,27.6,82,9.4,30.1,211.29999999999998,27.22857142857143,29.8,0.4205171465873718,2023-04-15_-858465_12628598_rgb.png,2023-04-15_-858465_12628598_ndvi.png
20.64258,104.43789,2023-04-18,1,38.1,28,12.6,3.7,33.2,34.357142857142854,39.7,0.35395047068595886,2023-04-18_2064258_10443789_rgb.png,2023-04-18_2064258_10443789_ndvi.png
-9.31051,124.37504,2023-10-08,1,36.0,29,15.4,9.3,12.600000000000001,34.800000000000004,36.3,0.2151489108800888,2023-10-08_-931051_12437504_rgb.png,2023-10-08_-931051_12437504_ndvi.png
14.68494,106.21684,2023-02-07,1,33.4,38,2.4,0.0,25.200000000000003,34.857142857142854,35.6,0.43431556224823,2023-02-07_1468494_10621684_rgb.png,2023-02-07_1468494_10621684_ndvi.png
18.60492,104.98239,2023-03-17,1,23.5,71,6.2,11.499999999999998,62.70000000000002,20.542857142857144,23.5,0.054619915783405304,2023-03-17_1860492_10498239_rgb.png,2023-03-17_1860492_10498239_ndvi.png
-9.12847,125.17949,2023-09-11,1,27.4,51,24.5,2.5999999999999996,2.8,28.414285714285715,29.3,0.3575727045536041,2023-09-11_-912847_12517949_rgb.png,2023-09-11_-912847_12517949_ndvi.png
-8.58137,125.85291,2023-10-08,1,34.9,36,18.1,3.6999999999999997,9.300000000000002,34.771428571428565,35.4,0.17649102210998535,2023-10-08_-858137_12585291_rgb.png,2023-10-08_-858137_12585291_ndvi.png
